codigo,valor_atual,min_52_semanas,max_52_semanas,valorizacao_12m,liquidez_media_diaria,dy,p/l,peg_ratio,p/vp,ev/ebitda,ev/ebit,p/ebitda,p/ebit,vpa,p/ativo,lpa,p/sr,p/cap_giro,p/ativo_circ_liq,div_liquida/pl,div_liquida/ebitda,div_liquida/ebit,pl/ativos,passivos/ativos,liq_corrente,m_bruta,m_ebitda,m_ebit,m_liquida,roe,roa,roic,giro_ativos,cagr_receitas_5_anos,cagr_lucros_5_anos,patrimonio_liquido,ativos,ativo_circulante,divida_bruta,disponibilidade,divida_liquida,valor_de_mercado,valor_de_firma,segmento_de_listagem,free_float,setor_de_atuacao,subsetor_de_atuacao,segmento_de_atuacao
SNSY5,4.6,4.41,7.2,-0.24,16316.04,0.0,-0.34,0.01,-0.02,22.85,-27.85,3.7,-4.51,-186.23,0.08,-13.7,0.05,-0.58,-0.19,0.0,13.33,-16.25,-3.12,4.16,0.82,0.191,0.013,-0.011,-0.147,-0.073,-0.23,0.006,1.56,0.041,0.0,-1437030000.0,460053000.0,273674000.0,133002000.0,5060000.0,127942000.0,91350818.0,219292818.0,,1.0,Materiais Básicos,Materiais Diversos,Materiais Diversos
SOND5,40.63,34.53,52.74,0.057,6442.33,0.21,14.48,-0.21,1.65,9.69,12.57,13.21,17.14,24.62,1.15,2.81,1.39,3.5,-2.42,-0.43,-3.47,-4.51,0.7,0.3,2.68,0.313,0.105,0.081,0.096,0.114,0.08,0.077,0.83,-0.104,0.0,60518000.0,86705000.0,45509000.0,0.0,26254000.0,-26254000.0,99496397.0,73242397.0,,0.36,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
SOND6,35.52,35.51,49.49,-0.075,3552.0,0.24,12.66,-0.19,1.44,9.69,12.57,11.55,14.99,24.62,1.01,2.81,1.22,3.06,-2.12,-0.43,-3.47,-4.51,0.7,0.3,2.68,0.313,0.105,0.081,0.096,0.114,0.08,0.077,0.83,-0.104,0.0,60518000.0,86705000.0,45509000.0,0.0,26254000.0,-26254000.0,99496397.0,73242397.0,,0.36,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
SPRI3,21.72,0.0,0.0,0.0,0.0,0.0,-3.32,-0.01,2.45,0.0,-2.46,0.0,-3.0,8.86,2.36,-6.54,0.0,4.61,-4.93,-0.14,0.0,0.17,0.96,0.04,66.47,0.0,0.0,0.0,0.0,-0.738,-0.712,-0.817,0.0,0.0,0.0,22420000.0,23251000.0,12097000.0,0.0,3038000.0,-3038000.0,48073732.0,45035732.0,,0.0,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas
SPRI5,8.52,0.0,0.0,0.0,0.0,0.0,-1.3,0.0,0.96,0.0,-2.46,0.0,-1.18,8.86,0.93,-6.54,0.0,1.81,-1.93,-0.14,0.0,0.17,0.96,0.04,66.47,0.0,0.0,0.0,0.0,-0.738,-0.712,-0.817,0.0,0.0,0.0,22420000.0,23251000.0,12097000.0,0.0,3038000.0,-3038000.0,48073732.0,45035732.0,,0.0,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas
SPRI6,11.0,0.0,0.0,0.0,0.0,0.0,-1.68,0.0,1.24,0.0,-2.46,0.0,-1.52,8.86,1.2,-6.54,0.0,2.34,-2.49,-0.14,0.0,0.17,0.96,0.04,66.47,0.0,0.0,0.0,0.0,-0.738,-0.712,-0.817,0.0,0.0,0.0,22420000.0,23251000.0,12097000.0,0.0,3038000.0,-3038000.0,48073732.0,45035732.0,,0.0,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas
SQIA3,19.08,12.79,30.64,-0.184,18059239.57,0.001,144.46,0.31,2.11,22.71,66.0,28.45,82.71,9.08,1.35,0.13,5.48,2.96,-2.93,-0.47,-6.39,-18.56,0.64,0.36,6.56,0.389,0.193,0.066,0.038,0.015,0.009,0.018,0.25,0.228,0.035,798855000.0,1246677000.0,671219000.0,241829000.0,619632000.0,-377803000.0,1721024392.0,1343221392.0,Novo Mercado,0.828,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
STBP3,7.1,4.95,9.55,0.129,32620449.43,0.036,35.77,-0.03,2.72,11.24,17.75,12.64,19.97,2.62,1.3,0.2,4.56,6.66,-1.81,-0.32,-1.47,-2.33,0.48,0.52,3.17,0.377,0.361,0.228,0.128,0.076,0.036,0.081,0.28,-0.007,0.0,2261986000.0,4751086000.0,1350812000.0,409002000.0,1126612000.0,-717610000.0,6195123363.0,5477513363.0,Novo Mercado,0.995,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem
SULA11,24.7,22.54,37.5,-0.341,79693523.74,0.009,25.91,-0.3,1.27,-20.51,-103.9,56.3,285.17,19.39,0.38,0.95,0.55,1.04,-1.15,-1.74,-76.84,-389.18,0.3,0.7,2.19,0.08,0.01,0.002,0.021,0.049,0.015,-0.016,0.7,0.05,-0.112,8256911000.0,27711292000.0,18563174000.0,2096725000.0,16463304000.0,-14366579000.0,10531137040.0,-3835441960.0,Nível 2,0.665,Financeiro e Outros,Previdência e Seguros,Seguradoras
SULA3,8.36,7.76,14.68,-0.43,146523.83,0.009,26.32,-0.31,1.3,-20.51,-103.9,57.19,289.66,6.46,0.39,0.32,0.55,1.06,-1.17,-1.74,-76.84,-389.18,0.3,0.7,2.19,0.08,0.01,0.002,0.021,0.049,0.015,-0.016,0.7,0.05,-0.112,8256911000.0,27711292000.0,18563174000.0,2096725000.0,16463304000.0,-14366579000.0,10531137040.0,-3835441960.0,Nível 2,0.665,Financeiro e Outros,Previdência e Seguros,Seguradoras
